ProjectNumber,SampleNumber,ContinentalRiverBasinCode,RiverBasinCode,RiverSubBasinCode,StationTypeCode,StationNumber,Station,LatitudeDecimalDegrees,LongitudeDecimalDegrees,SampleMatrixCode,SampleTypeCode,CollectionCode,QCSampleFlag,SampleComment,SampleDatetime,103999 ALUMINUM TOTAL RECOVERABLE ug/L,20107 CALCIUM DISSOLVED/FILTERED mg/L,20110 CALCIUM DISSOLVED/FILTERED mg/L,20111 CALCIUM DISSOLVED/FILTERED mg/L,80025 CALCIUM TOTAL RECOVERABLE mg/L,29009 COPPER TOTAL (CU) mg/L,80030 COPPER TOTAL RECOVERABLE ug/L,80041 LEAD TOTAL RECOVERABLE ug/L,28009 NICKEL TOTAL mg/L,80039 NICKEL TOTAL RECOVERABLE ug/L,7205 NITROGEN DISSOLVED NITRITE mg/L,7206 NITROGEN DISSOLVED NITRITE mg/L,7110 NITROGEN DISSOLVED NO3 & NO2 mg/L,7111 NITROGEN DISSOLVED NO3 & NO2 mg/L,7906 NITROGEN PARTICULATE TOTAL mg/L,100922 OXYGEN DISSOLVED (FIELD METER) mg/L,80558 OXYGEN DISSOLVED (FIELD METER) mg/L,8102 OXYGEN DISSOLVED (FIELD METER) mg/L,8101 OXYGEN DISSOLVED (WINKLER) mg/L,10301 PH (LAB) pH units,15422 PHOSPHORUS TOTAL (P) mg/L,15114 PHOSPHORUS TOTAL DISSOLVED mg/L,2074 TURBIDITY NTU,23009 VANADIUM TOTAL mg/L,80055 VANADIUM TOTAL RECOVERABLE ug/L
ABS019,21SWE01445,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,08/20/2021 14:43:00,,,,,,,,,,,,,,,,,7.73,,,,,,,,
ABS019,21SWE01446,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,08/20/2021 14:44:00,,,,,,,,,,,,,,,,,7.62,,,,,,,,
ABS019,21SWE01447,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,08/20/2021 14:45:00,,,,,,,,,,,,,,,,,7.4,,,,,,,,
ABS019,21SWE01689,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:45:00,,,,,,,,,,,,,,,,,9.55,,,,,,,,
ABS019,21SWE01690,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:46:00,,,,,,,,,,,,,,,,,9.6,,,,,,,,
ABS019,21SWE01691,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:47:00,,,,,,,,,,,,,,,,,9.57,,,,,,,,
ABS019,21SWE01692,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:48:00,,,,,,,,,,,,,,,,,9.55,,,,,,,,
ABS019,21SWE01693,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:49:00,,,,,,,,,,,,,,,,,9.6,,,,,,,,
ABS019,21SWE01694,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:50:00,,,,,,,,,,,,,,,,,9.51,,,,,,,,
ABS019,21SWE01695,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:51:00,,,,,,,,,,,,,,,,,9.52,,,,,,,,
ABS019,21SWE01696,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:52:00,,,,,,,,,,,,,,,,,9.45,,,,,,,,
ABS019,21SWE01697,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:53:00,,,,,,,,,,,,,,,,,9.46,,,,,,,,
ABS019,21SWE01698,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:54:00,,,,,,,,,,,,,,,,,9.46,,,,,,,,
ABS019,21SWE01699,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:55:00,,,,,,,,,,,,,,,,,9.39,,,,,,,,
ABS019,21SWE01700,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:56:00,,,,,,,,,,,,,,,,,9.34,,,,,,,,
ABS019,21SWE01701,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:57:00,,,,,,,,,,,,,,,,,9.33,,,,,,,,
ABS019,21SWE01702,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:58:00,,,,,,,,,,,,,,,,,9.16,,,,,,,,
ABS019,21SWE01703,MAC,ATH,07CE,1,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.455780,-111.154460,0,1,122,N,,09/17/2021 13:59:00,,,,,,,,,,,,,,,,,9.07,,,,,,,,
